"","package","version","text"
"1","blastula","0.3.2","install_version(""blastula"", version = ""0.3.2"", repos = ""https://cran.ma.imperial.ac.uk"")"
"2","cowplot","1.1.1","install_version(""cowplot"", version = ""1.1.1"", repos = ""https://cran.ma.imperial.ac.uk"")"
"3","gridExtra","2.3","install_version(""gridExtra"", version = ""2.3"", repos = ""https://cran.ma.imperial.ac.uk"")"
"4","lemon","0.4.5","install_version(""lemon"", version = ""0.4.5"", repos = ""https://cran.ma.imperial.ac.uk"")"
"5","mlr3misc","0.6.0","install_version(""mlr3misc"", version = ""0.6.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"6","mlr3fselect","0.4.1","install_version(""mlr3fselect"", version = ""0.4.1"", repos = ""https://cran.ma.imperial.ac.uk"")"
"7","mlr3proba","0.2.6","install_version(""mlr3proba"", version = ""0.2.6"", repos = ""https://cran.ma.imperial.ac.uk"")"
"8","mlr3learners","0.4.3","install_version(""mlr3learners"", version = ""0.4.3"", repos = ""https://cran.ma.imperial.ac.uk"")"
"9","mlr3","0.9.0","install_version(""mlr3"", version = ""0.9.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"10","polynom","1.4-0","install_version(""polynom"", version = ""1.4-0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"11","data.table","1.13.4","install_version(""data.table"", version = ""1.13.4"", repos = ""https://cran.ma.imperial.ac.uk"")"
"12","lubridate","1.7.9.2","install_version(""lubridate"", version = ""1.7.9.2"", repos = ""https://cran.ma.imperial.ac.uk"")"
"13","forcats","0.5.0","install_version(""forcats"", version = ""0.5.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"14","stringr","1.4.0","install_version(""stringr"", version = ""1.4.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"15","purrr","0.3.4","install_version(""purrr"", version = ""0.3.4"", repos = ""https://cran.ma.imperial.ac.uk"")"
"16","readr","1.4.0","install_version(""readr"", version = ""1.4.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"17","tidyr","1.1.2","install_version(""tidyr"", version = ""1.1.2"", repos = ""https://cran.ma.imperial.ac.uk"")"
"18","tibble","3.0.4","install_version(""tibble"", version = ""3.0.4"", repos = ""https://cran.ma.imperial.ac.uk"")"
"19","ggplot2","3.3.2","install_version(""ggplot2"", version = ""3.3.2"", repos = ""https://cran.ma.imperial.ac.uk"")"
"20","tidyverse","1.3.0","install_version(""tidyverse"", version = ""1.3.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"21","dplyr","1.0.2","install_version(""dplyr"", version = ""1.0.2"", repos = ""https://cran.ma.imperial.ac.uk"")"
"22","DBI","1.1.0","install_version(""DBI"", version = ""1.1.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"23","stats","4.0.0","install_version(""stats"", version = ""4.0.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"24","graphics","4.0.0","install_version(""graphics"", version = ""4.0.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"25","grDevices","4.0.0","install_version(""grDevices"", version = ""4.0.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"26","utils","4.0.0","install_version(""utils"", version = ""4.0.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"27","datasets","4.0.0","install_version(""datasets"", version = ""4.0.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"28","methods","4.0.0","install_version(""methods"", version = ""4.0.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"29","base","4.0.0","install_version(""base"", version = ""4.0.0"", repos = ""https://cran.ma.imperial.ac.uk"")"
"30","xgboost","1.2.0.1","install_version(""xgboost"", version = ""1.2.0.1"", repos = ""https://cran.ma.imperial.ac.uk"")"
